Length,Enthalpy,Entropy,Gibbs_Free_Energy_37C
1,1.06e+04,2.19e+01,3.8e+03
2,7.1e+03,1.39e+01,2.8e+03
3,7.1e+03,1.26e+01,3.2e+03
4,7.1e+03,1.13e+01,3.6e+03
5,7.1e+03,1.00e+01,4.0e+03
6,7.1e+03,8.7e+00,4.4e+03
7,7.1e+03,8.1e+00,4.6e+03
8,7.1e+03,7.7e+00,4.7e+03
9,7.1e+03,7.4e+00,4.8e+03
10,7.1e+03,7.1e+00,4.9e+03
11,7.1e+03,6.8e+00,5.0e+03
12,7.1e+03,6.4e+00,5.1e+03
13,7.1e+03,6.1e+00,5.2e+03
14,7.1e+03,5.8e+00,5.3e+03
15,7.1e+03,5.5e+00,5.4e+03
16,7.1e+03,5.5e+00,5.4e+03
17,7.1e+03,5.2e+00,5.5e+03
18,7.1e+03,5.2e+00,5.5e+03
19,7.1e+03,4.8e+00,5.6e+03
20,7.1e+03,4.5e+00,5.7e+03
21,7.1e+03,4.5e+00,5.7e+03
22,7.1e+03,4.2e+00,5.8e+03
23,7.1e+03,4.2e+00,5.8e+03
24,7.1e+03,4.2e+00,5.8e+03
25,7.1e+03,3.9e+00,5.9e+03
26,7.1e+03,3.9e+00,5.9e+03
27,7.1e+03,3.5e+00,6.0e+03
28,7.1e+03,3.5e+00,6.0e+03
29,7.1e+03,3.5e+00,6.0e+03
30,7.1e+03,3.2e+00,6.1e+03